App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Negative,Neutral,Positive,AVG_Pol,AVG_Sub,Last Updated Mois,Last Updated Jour,Last Updated Annee
Accounting App - Zoho Books,BUSINESS,4.5,3079.0,8704.0,100000,Free,0.0,Everyone,Business,"August 2, 2018",6.0,9.0,65.0,0.45,0.52,August,2,2018
AdWords Express,BUSINESS,4.1,7149.0,11264.0,1000000,Free,0.0,Everyone,Business,"July 31, 2018",2.0,28.0,20.0,0.19,0.27,July,31,2018
Ada - Your Health Guide,MEDICAL,4.7,87418.0,14336.0,1000000,Free,0.0,Everyone,Medical,"July 16, 2018",5.0,4.0,71.0,0.3,0.56,July,16,2018
Adult Dirty Emojis,DATING,2.8,80.0,5632.0,10000,Free,0.0,Teen,Dating,"November 6, 2017",0.0,0.0,0.0,0.0,0.0,November,6,2017
Advanced Comprehension Therapy,MEDICAL,4.2,3.0,63488.0,100,Paid,24.99,Everyone,Medical,"October 5, 2017",0.0,0.0,0.0,0.0,0.0,October,5,2017
Airway Ex - Intubate. Anesthetize. Train.,MEDICAL,4.3,123.0,88064.0,10000,Free,0.0,Everyone,Medical,"June 1, 2018",8.0,6.0,26.0,0.22,0.49,June,1,2018
All Mental disorders,MEDICAL,4.5,453.0,11264.0,100000,Free,0.0,Everyone,Medical,"July 7, 2017",12.0,10.0,58.0,0.2,0.42,July,7,2017
American Airlines,TRAVEL_AND_LOCAL,3.7,16980.0,22032.55340623291,5000000,Free,0.0,Everyone,Travel & Local,"July 18, 2018",19.0,4.0,20.0,-0.08,0.48,July,18,2018
AnatomyMapp,MEDICAL,4.1,80.0,49152.0,5000,Paid,14.99,Everyone,Medical,"November 5, 2013",0.0,0.0,0.0,0.0,0.0,November,5,2013
Android Messages,COMMUNICATION,4.2,781810.0,22032.55340623291,100000000,Free,0.0,Everyone,Communication,"August 1, 2018",16.0,4.0,23.0,0.07,0.51,August,1,2018
Anthem Anywhere,MEDICAL,2.7,2657.0,24576.0,500000,Free,0.0,Everyone,Medical,"July 27, 2018",43.0,18.0,19.0,-0.09,0.39,July,27,2018
Anthem BC Anywhere,MEDICAL,2.6,496.0,24576.0,100000,Free,0.0,Everyone,Medical,"July 27, 2018",21.0,11.0,8.0,-0.12,0.37,July,27,2018
"Any.do: To-do list, Calendar, Reminders & Planner",PRODUCTIVITY,4.5,298854.0,22032.55340623291,10000000,Free,0.0,Everyone,Productivity,"August 5, 2018",13.0,11.0,74.0,0.22,0.45,August,5,2018
"Apartment List: Housing, Apt, and Property Rentals",HOUSE_AND_HOME,4.5,8481.0,7680.0,1000000,Free,0.0,Everyone,House & Home,"August 3, 2018",2.0,3.0,75.0,0.47,0.58,August,3,2018
Apartments.com Rental Search,HOUSE_AND_HOME,4.3,22584.0,16384.0,1000000,Free,0.0,Everyone,House & Home,"July 16, 2018",19.0,18.0,43.0,0.07,0.41,July,16,2018
Asana: organize team projects,BUSINESS,4.3,20815.0,10240.0,1000000,Free,0.0,Everyone,Business,"July 26, 2018",5.0,5.0,33.0,0.23,0.52,July,26,2018
Avokiddo Emotions,FAMILY,4.6,73.0,12288.0,1000,Paid,2.99,Everyone,Education;Pretend Play,"May 21, 2018",0.0,0.0,0.0,0.0,0.0,May,21,2018
BBC News,NEWS_AND_MAGAZINES,4.3,296781.0,22032.55340623291,10000000,Free,0.0,Everyone 10+,News & Magazines,"July 24, 2018",18.0,8.0,37.0,0.1,0.39,July,24,2018
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.4,218.0,27648.0,10000,Free,0.0,Mature 17+,Dating,"July 23, 2018",16.0,14.0,50.0,0.18,0.46,July,23,2018
BBW Dating & Plus Size Chat,DATING,4.4,12632.0,29696.0,1000000,Free,0.0,Mature 17+,Dating,"July 27, 2018",27.0,15.0,78.0,0.13,0.49,July,27,2018
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807.0,19456.0,1000000,Free,0.0,Teen,Entertainment,"July 8, 2018",30.0,51.0,39.0,0.05,0.41,July,8,2018
BP Journal - Blood Pressure Diary,MEDICAL,5.0,6.0,26624.0,1000,Free,0.0,Everyone,Medical,"May 25, 2018",0.0,0.0,0.0,0.0,0.0,May,25,2018
Babbel – Learn Languages,EDUCATION,4.3,266948.0,21504.0,10000000,Free,0.0,Everyone,Education,"July 30, 2018",3.0,11.0,34.0,0.39,0.5,July,30,2018
Baby Panda Care,FAMILY,4.2,108795.0,50176.0,10000000,Free,0.0,Everyone,Educational;Pretend Play,"June 15, 2018",10.0,8.0,62.0,0.17,0.54,June,15,2018
Badoo - Free Chat & Dating App,SOCIAL,4.3,3781770.0,22032.55340623291,100000000,Free,0.0,Mature 17+,Social,"August 2, 2018",27.0,35.0,58.0,0.13,0.42,August,2,2018
Banfield Pet Health Tracker,MEDICAL,4.2,1747.0,6041.6,100000,Free,0.0,Everyone,Medical,"October 17, 2016",28.0,6.0,46.0,0.08,0.5,October,17,2016
Beautiful Widgets Pro,PERSONALIZATION,4.2,97890.0,14336.0,1000000,Paid,2.49,Everyone,Personalization,"August 24, 2016",5.0,2.0,33.0,0.18,0.5,August,24,2016
BeautyPlus - Easy Photo Editor & Selfie Camera,PHOTOGRAPHY,4.4,3158151.0,54272.0,100000000,Free,0.0,Everyone,Photography,"July 31, 2018",0.0,2.0,2.0,0.3,0.3,July,31,2018
Bita and the Animals - Pelos Ares,FAMILY,4.4,1160.0,37888.0,100000,Free,0.0,Everyone,Education;Music & Video,"May 22, 2013",0.0,0.0,0.0,0.0,0.0,May,22,2013
Black People Meet Singles Date,DATING,3.9,10212.0,5120.0,1000000,Free,0.0,Mature 17+,Dating,"July 25, 2018",4.0,5.0,19.0,0.25,0.51,July,25,2018
"Bleacher Report: sports news, scores, & highlights",SPORTS,4.4,122282.0,22032.55340623291,5000000,Free,0.0,Everyone 10+,Sports,"July 20, 2018",0.0,0.0,0.0,0.0,0.0,July,20,2018
"Bleacher Report: sports news, scores, & highlights",SPORTS,4.4,122283.0,22032.55340623291,5000000,Free,0.0,Everyone 10+,Sports,"July 20, 2018",0.0,0.0,0.0,0.0,0.0,July,20,2018
"Blendr - Chat, Flirt & Meet",DATING,4.0,28671.0,22032.55340623291,1000000,Free,0.0,Mature 17+,Dating,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
Block Buddy,MEDICAL,4.0,15.0,5120.0,1000,Paid,14.99,Everyone,Medical,"August 1, 2018",0.0,0.0,0.0,0.0,0.0,August,1,2018
Block Craft 3D: Building Simulator Games For Free,GAME,4.5,946926.0,58368.0,50000000,Free,0.0,Everyone,Simulation,"March 5, 2018",0.0,0.0,0.0,0.0,0.0,March,5,2018
Block Puzzle,GAME,4.6,59907.0,7987.2,5000000,Free,0.0,Everyone,Puzzle,"March 6, 2018",71.0,0.0,149.0,0.04,0.54,March,6,2018
Blood Pressure,MEDICAL,4.2,33033.0,7577.6,5000000,Free,0.0,Everyone,Medical,"July 24, 2018",4.0,4.0,32.0,0.44,0.59,July,24,2018
Blood Pressure Companion,MEDICAL,4.2,178.0,4915.2,1000,Paid,0.99,Everyone,Medical,"July 22, 2018",0.0,0.0,0.0,0.0,0.0,July,22,2018
Blood Pressure Monitor,MEDICAL,4.3,17.0,6144.0,10000,Free,0.0,Everyone,Medical,"February 25, 2017",0.0,0.0,0.0,0.0,0.0,February,25,2017
Blood Pressure(BP) Diary,MEDICAL,3.7,3596.0,8601.6,1000000,Free,0.0,Everyone,Medical,"July 18, 2018",8.0,18.0,14.0,0.09,0.36,July,18,2018
Booking.com Travel Deals,TRAVEL_AND_LOCAL,4.7,1830388.0,22032.55340623291,100000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",27.0,39.0,54.0,0.01,0.4,August,6,2018
Bowmasters,GAME,4.7,1535973.0,22032.55340623291,50000000,Free,0.0,Teen,Action,"July 23, 2018",119.0,24.0,177.0,0.06,0.5,July,23,2018
Box,BUSINESS,4.2,159872.0,22032.55340623291,10000000,Free,0.0,Everyone,Business,"July 31, 2018",12.0,24.0,84.0,0.41,0.44,July,31,2018
Breastfeeding Tracker Baby Log,MEDICAL,4.2,6.0,23552.0,100,Free,0.0,Everyone,Medical,"July 20, 2018",0.0,0.0,0.0,0.0,0.0,July,20,2018
Brilliant,EDUCATION,4.5,41185.0,22032.55340623291,1000000,Free,0.0,Everyone,Education,"August 3, 2018",5.0,2.0,21.0,0.24,0.49,August,3,2018
Brit + Co,LIFESTYLE,3.9,987.0,4608.0,10000,Free,0.0,Everyone,Lifestyle,"August 29, 2017",2.0,4.0,10.0,0.12,0.52,August,29,2017
"BuzzFeed: News, Tasty, Quizzes",NEWS_AND_MAGAZINES,4.3,131028.0,13312.0,5000000,Free,0.0,Teen,News & Magazines,"July 30, 2018",8.0,16.0,56.0,0.2,0.47,July,30,2018
CBS - Full Episodes & Live TV,ENTERTAINMENT,3.8,92058.0,12288.0,10000000,Free,0.0,Teen,Entertainment,"July 20, 2018",0.0,0.0,0.0,0.0,0.0,July,20,2018
"CBS Sports App - Scores, News, Stats & Watch Live",SPORTS,4.3,91031.0,22032.55340623291,5000000,Free,0.0,Everyone,Sports,"August 4, 2018",42.0,27.0,123.0,0.16,0.51,August,4,2018
"CBS Sports App - Scores, News, Stats & Watch Live",SPORTS,4.3,91033.0,22032.55340623291,5000000,Free,0.0,Everyone,Sports,"August 4, 2018",42.0,27.0,123.0,0.16,0.51,August,4,2018
CBS Sports Fantasy,SPORTS,4.0,43611.0,27648.0,1000000,Free,0.0,Everyone,Sports,"June 27, 2018",9.0,11.0,60.0,0.25,0.49,June,27,2018
CMB Free Dating App,DATING,4.0,48845.0,40960.0,1000000,Free,0.0,Mature 17+,Dating,"August 1, 2018",6.0,10.0,64.0,0.29,0.54,August,1,2018
CNN Breaking US & World News,NEWS_AND_MAGAZINES,4.0,293080.0,25600.0,10000000,Free,0.0,Everyone 10+,News & Magazines,"August 6, 2018",41.0,6.0,73.0,0.06,0.51,August,6,2018
CT Scan Cross Sectional Anatomy,MEDICAL,4.3,10.0,47104.0,100,Free,0.0,Everyone,Medical,"July 19, 2018",0.0,0.0,0.0,0.0,0.0,July,19,2018
Calls & Text by Mo+,COMMUNICATION,4.2,83239.0,14336.0,5000000,Free,0.0,Everyone,Communication,"April 19, 2018",0.0,1.0,5.0,0.47,0.55,April,19,2018
Calorie Counter & Diet Tracker,HEALTH_AND_FITNESS,4.5,32606.0,22032.55340623291,1000000,Free,0.0,Everyone,Health & Fitness,"March 22, 2018",17.0,9.0,114.0,0.23,0.5,March,22,2018
Calorie Counter - Macros,HEALTH_AND_FITNESS,4.0,3061.0,5632.0,100000,Free,0.0,Everyone,Health & Fitness,"August 27, 2016",20.0,6.0,174.0,0.25,0.51,August,27,2016
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873520.0,22032.55340623291,50000000,Free,0.0,Everyone,Health & Fitness,"July 31, 2018",52.0,34.0,174.0,0.22,0.47,July,31,2018
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873523.0,22032.55340623291,50000000,Free,0.0,Everyone,Health & Fitness,"July 31, 2018",52.0,34.0,174.0,0.22,0.47,July,31,2018
Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,4.5,27439.0,19456.0,1000000,Free,0.0,Everyone,Health & Fitness,"July 16, 2018",4.0,15.0,181.0,0.38,0.56,July,16,2018
Camera for Android,PHOTOGRAPHY,4.2,240475.0,9728.0,10000000,Free,0.0,Everyone,Photography,"November 22, 2017",0.0,0.0,0.0,0.0,0.0,November,22,2017
Candy Crush Saga,GAME,4.4,22428456.0,75776.0,500000000,Free,0.0,Everyone,Casual,"July 5, 2018",126.0,12.0,102.0,0.03,0.46,July,5,2018
Candy Crush Saga,GAME,4.4,22430188.0,75776.0,500000000,Free,0.0,Everyone,Casual,"July 5, 2018",126.0,12.0,102.0,0.03,0.46,July,5,2018
Cardi B Live Stream Video Chat - Prank,DATING,4.4,28.0,3481.6,500,Free,0.0,Everyone,Dating,"July 16, 2018",0.0,0.0,0.0,0.0,0.0,July,16,2018
"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.4,8.0,6656.0,100,Paid,12.99,Everyone,Medical,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
"Carousell: Snap-Sell, Chat-Buy",SHOPPING,4.3,125783.0,22032.55340623291,10000000,Free,0.0,Teen,Shopping,"August 6, 2018",0.0,0.0,0.0,0.0,0.0,August,6,2018
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637.0,11264.0,5000000,Free,0.0,Mature 17+,Dating,"July 31, 2018",0.0,0.0,0.0,0.0,0.0,July,31,2018
Chat Kids - Chat Room For Kids,DATING,4.7,6.0,5017.6,100,Free,0.0,Mature 17+,Dating,"July 24, 2018",0.0,0.0,0.0,0.0,0.0,July,24,2018
Checkout 51: Grocery coupons,SHOPPING,4.1,52896.0,22032.55340623291,10000000,Free,0.0,Everyone,Shopping,"June 18, 2018",3.0,2.0,21.0,0.13,0.4,June,18,2018
Chictopia,LIFESTYLE,4.1,360.0,4710.4,10000,Free,0.0,Everyone,Lifestyle,"April 30, 2014",0.0,0.0,0.0,0.0,0.0,April,30,2014
"Chispa, the Dating App for Latino, Latina Singles",DATING,4.2,4195.0,24576.0,100000,Free,0.0,Mature 17+,Dating,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
Clash of Clans,GAME,4.6,44891723.0,100352.0,100000000,Free,0.0,Everyone 10+,Strategy,"July 15, 2018",10.0,0.0,23.0,0.04,0.53,July,15,2018
Clover Dating App,DATING,4.1,11633.0,23552.0,500000,Free,0.0,Mature 17+,Dating,"July 24, 2018",0.0,0.0,0.0,0.0,0.0,July,24,2018
ColorNote Notepad Notes,PRODUCTIVITY,4.6,2401017.0,22032.55340623291,100000000,Free,0.0,Everyone,Productivity,"June 27, 2018",7.0,3.0,130.0,0.28,0.51,June,27,2018
Comedy Central,ENTERTAINMENT,3.9,22378.0,19456.0,1000000,Free,0.0,Teen,Entertainment,"July 8, 2018",12.0,26.0,42.0,0.17,0.35,July,8,2018
Couple - Relationship App,SOCIAL,4.0,33249.0,8601.6,1000000,Free,0.0,Everyone,Social,"March 5, 2015",0.0,0.0,23.0,0.3,0.58,March,5,2015
Coursera: Online courses,EDUCATION,4.4,90481.0,22032.55340623291,5000000,Free,0.0,Everyone,Education,"July 27, 2018",0.0,0.0,0.0,0.0,0.0,July,27,2018
Crackle - Free TV & Movies,ENTERTAINMENT,3.7,388089.0,22032.55340623291,10000000,Free,0.0,Teen,Entertainment,"April 12, 2018",0.0,0.0,0.0,0.0,0.0,April,12,2018
Crew - Free Messaging and Scheduling,BUSINESS,4.6,4159.0,49152.0,500000,Free,0.0,Everyone,Business,"July 20, 2018",4.0,4.0,72.0,0.42,0.6,July,20,2018
Crunchyroll - Everything Anime,ENTERTAINMENT,3.7,310066.0,22032.55340623291,10000000,Free,0.0,Teen,Entertainment,"March 5, 2018",15.0,0.0,105.0,0.18,0.44,March,5,2018
"Cymera Camera- Photo Editor, Filter,Collage,Layout",PHOTOGRAPHY,4.4,2418135.0,22032.55340623291,100000000,Free,0.0,Everyone,Photography,"July 12, 2018",3.0,15.0,102.0,0.42,0.46,July,12,2018
DC Super Hero Girls™,FAMILY,4.3,43060.0,97280.0,5000000,Free,0.0,Everyone,Action;Action & Adventure,"June 29, 2018",9.0,3.0,108.0,0.33,0.57,June,29,2018
DRAGON BALL LEGENDS,GAME,4.6,337913.0,49152.0,5000000,Free,0.0,Teen,Action,"August 3, 2018",39.0,1.0,140.0,0.1,0.52,August,3,2018
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769.0,35840.0,5000000,Free,0.0,Everyone,Health & Fitness,"July 24, 2018",2.0,0.0,10.0,0.26,0.57,July,24,2018
Diabetes & Diet Tracker,MEDICAL,4.6,395.0,19456.0,1000,Paid,9.99,Everyone,Medical,"July 16, 2018",4.0,4.0,72.0,0.36,0.57,July,16,2018
Digit Save Money Automatically,FINANCE,4.5,8188.0,22528.0,100000,Free,0.0,Everyone,Finance,"July 31, 2018",2.0,13.0,65.0,0.25,0.4,July,31,2018
Disney Magic Kingdoms: Build Your Own Magical Park,FAMILY,4.3,472584.0,93184.0,10000000,Free,0.0,Everyone,Simulation;Action & Adventure,"August 2, 2018",16.0,0.0,31.0,0.09,0.48,August,2,2018
DisneyNOW – TV Shows & Games,FAMILY,4.3,82471.0,22032.55340623291,5000000,Free,0.0,Everyone,Entertainment;Music & Video,"July 5, 2018",10.0,4.0,66.0,0.2,0.54,July,5,2018
Do It Later: Tasks & To-Dos,PRODUCTIVITY,4.5,123412.0,22032.55340623291,50000000,Free,0.0,Everyone,Productivity,"April 13, 2018",5.0,10.0,25.0,0.17,0.33,April,13,2018
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730.0,22032.55340623291,50000000,Free,0.0,Everyone,Business,"April 2, 2018",11.0,15.0,54.0,0.21,0.41,April,2,2018
Domino's Pizza USA,FOOD_AND_DRINK,4.7,1032935.0,22032.55340623291,10000000,Free,0.0,Everyone,Food & Drink,"July 20, 2018",11.0,2.0,67.0,0.21,0.5,July,20,2018
Dr. Panda & Toto's Treehouse,FAMILY,4.4,3396.0,9728.0,50000,Paid,3.99,Everyone,Casual;Pretend Play,"December 9, 2014",12.0,4.0,64.0,0.18,0.53,December,9,2014
DreamWorks Friends,FAMILY,3.6,1042.0,49152.0,100000,Free,0.0,Everyone,Role Playing;Pretend Play,"August 4, 2017",20.0,22.0,38.0,-0.0,0.48,August,4,2017
Duolingo: Learn Languages Free,EDUCATION,4.7,6290507.0,22032.55340623291,100000000,Free,0.0,Everyone,Education;Education,"August 1, 2018",34.0,6.0,200.0,0.2,0.47,August,1,2018
EMT PASS,MEDICAL,3.4,51.0,2457.6,1000,Paid,29.99,Everyone,Medical,"October 22, 2014",0.0,0.0,0.0,0.0,0.0,October,22,2014
EMT Review Plus,MEDICAL,4.5,199.0,1843.2,10000,Paid,11.99,Everyone,Medical,"June 27, 2018",0.0,0.0,0.0,0.0,0.0,June,27,2018
EMT Tutor NREMT-B Study Guide,MEDICAL,4.6,625.0,8601.6,10000,Paid,3.99,Everyone,Medical,"January 8, 2017",0.0,0.0,0.0,0.0,0.0,January,8,2017
ESPN,SPORTS,4.2,521138.0,22032.55340623291,10000000,Free,0.0,Everyone 10+,Sports,"July 19, 2018",0.0,0.0,0.0,0.0,0.0,July,19,2018
ESPN,SPORTS,4.2,521140.0,22032.55340623291,10000000,Free,0.0,Everyone 10+,Sports,"July 19, 2018",0.0,0.0,0.0,0.0,0.0,July,19,2018
ESPN Fantasy Sports,SPORTS,4.0,176448.0,10240.0,5000000,Free,0.0,Everyone,Sports,"November 21, 2017",0.0,0.0,0.0,0.0,0.0,November,21,2017
Ebook Reader,BOOKS_AND_REFERENCE,4.1,85842.0,37888.0,5000000,Free,0.0,Everyone,Books & Reference,"June 25, 2018",4.0,3.0,33.0,0.34,0.58,June,25,2018
EliteSingles – Dating for Single Professionals,DATING,2.5,5377.0,19456.0,500000,Free,0.0,Mature 17+,Dating,"July 31, 2018",0.0,0.0,0.0,0.0,0.0,July,31,2018
Elmo Calls by Sesame Street,FAMILY,3.9,6903.0,25600.0,1000000,Free,0.0,Everyone,Educational;Pretend Play,"January 31, 2018",0.0,0.0,0.0,0.0,0.0,January,31,2018
Equestria Girls,FAMILY,4.3,392596.0,54272.0,10000000,Free,0.0,Everyone,Role Playing;Action & Adventure,"July 22, 2016",30.0,2.0,48.0,0.04,0.55,July,22,2016
Essential Anatomy 3,MEDICAL,4.1,1533.0,43008.0,50000,Paid,11.99,Mature 17+,Medical,"August 7, 2014",10.0,0.0,70.0,0.23,0.52,August,7,2014
Etsy: Handmade & Vintage Goods,SHOPPING,4.3,95520.0,15360.0,10000000,Free,0.0,Teen,Shopping,"August 3, 2018",12.0,8.0,60.0,0.31,0.54,August,3,2018
"Evernote – Organizer, Planner for Notes & Memos",PRODUCTIVITY,4.6,1488396.0,22032.55340623291,100000000,Free,0.0,Everyone,Productivity,"August 3, 2018",25.0,0.0,95.0,0.08,0.52,August,3,2018
"Expedia Hotels, Flights & Car Rental Travel Deals",TRAVEL_AND_LOCAL,4.1,136626.0,14336.0,10000000,Free,0.0,Everyone,Travel & Local,"August 6, 2018",55.0,15.0,90.0,0.09,0.5,August,6,2018
Extreme Coupon Finder,SHOPPING,4.1,11798.0,22032.55340623291,1000000,Free,0.0,Everyone,Shopping,"May 10, 2018",4.0,2.0,8.0,0.07,0.56,May,10,2018
FOX,ENTERTAINMENT,3.7,197774.0,45056.0,10000000,Free,0.0,Mature 17+,Entertainment,"June 25, 2018",22.0,12.0,46.0,0.21,0.46,June,25,2018
FOX NOW - On Demand & Live TV,ENTERTAINMENT,3.9,60841.0,22032.55340623291,5000000,Free,0.0,Teen,Entertainment,"July 26, 2018",40.0,12.0,68.0,0.05,0.49,July,26,2018
"FOX Sports: Live Streaming, Scores & News",SPORTS,4.0,28895.0,83968.0,5000000,Free,0.0,Teen,Sports,"August 2, 2018",5.0,6.0,22.0,0.31,0.52,August,2,2018
"Fabulous: Motivate Me! Meditate, Relax, Sleep",HEALTH_AND_FITNESS,4.6,205299.0,31744.0,5000000,Free,0.0,Everyone,Health & Fitness,"July 16, 2018",6.0,3.0,31.0,0.19,0.53,July,16,2018
Facetune - For Free,PHOTOGRAPHY,4.4,49553.0,49152.0,1000000,Paid,5.99,Everyone,Photography,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
Fancy,SHOPPING,4.2,39735.0,18432.0,5000000,Free,0.0,Teen,Shopping,"July 25, 2018",0.0,0.0,0.0,0.0,0.0,July,25,2018
Fandango Movies - Times + Tickets,ENTERTAINMENT,4.6,243747.0,22032.55340623291,10000000,Free,0.0,Teen,Entertainment,"August 2, 2018",15.0,4.0,61.0,0.14,0.52,August,2,2018
Fantasy Football,SPORTS,3.5,50179.0,23552.0,1000000,Free,0.0,Everyone,Sports,"August 2, 2018",21.0,17.0,42.0,0.06,0.41,August,2,2018
Fashion in Vogue,LIFESTYLE,3.8,1797.0,6963.2,100000,Free,0.0,Everyone,Lifestyle,"September 27, 2016",32.0,35.0,53.0,0.06,0.35,September,27,2016
Fast Scanner : Free PDF Scan,BUSINESS,4.5,103755.0,14336.0,10000000,Free,0.0,Everyone,Business,"July 11, 2018",1.0,15.0,64.0,0.31,0.43,July,11,2018
Find Real Love — YouLove Premium Dating,DATING,4.5,212626.0,11264.0,10000000,Free,0.0,Mature 17+,Dating,"July 31, 2018",0.0,0.0,0.0,0.0,0.0,July,31,2018
Fishdom,GAME,4.6,2157930.0,22032.55340623291,10000000,Free,0.0,Everyone,Puzzle,"July 19, 2018",42.0,0.0,138.0,0.06,0.56,July,19,2018
Fitbit Coach,HEALTH_AND_FITNESS,4.6,28951.0,61440.0,1000000,Free,0.0,Everyone,Health & Fitness,"July 16, 2018",0.0,0.0,0.0,0.0,0.0,July,16,2018
Flickr,PHOTOGRAPHY,4.3,251951.0,16384.0,10000000,Free,0.0,Mature 17+,Photography,"July 11, 2018",19.0,10.0,51.0,0.18,0.44,July,11,2018
Flipboard: News For Our Time,NEWS_AND_MAGAZINES,4.4,1284017.0,22032.55340623291,500000000,Free,0.0,Everyone 10+,News & Magazines,"August 3, 2018",0.0,3.0,10.0,0.39,0.43,August,3,2018
Flow Free,GAME,4.3,1295625.0,11264.0,100000000,Free,0.0,Everyone,Puzzle,"April 11, 2018",49.0,4.0,167.0,0.07,0.52,April,11,2018
Fly Delta,TRAVEL_AND_LOCAL,3.7,27560.0,47104.0,5000000,Free,0.0,Everyone,Travel & Local,"July 31, 2018",10.0,14.0,56.0,0.14,0.46,July,31,2018
Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324.0,4096.0,100000,Free,0.0,Everyone,Health & Fitness,"January 29, 2018",8.0,22.0,16.0,0.1,0.45,January,29,2018
Food Network,ENTERTAINMENT,4.1,7813.0,22032.55340623291,500000,Free,0.0,Teen,Entertainment,"July 27, 2018",24.0,16.0,40.0,0.03,0.44,July,27,2018
"Fox News – Breaking News, Live Video & News Alerts",NEWS_AND_MAGAZINES,4.5,249919.0,22032.55340623291,10000000,Free,0.0,Everyone 10+,News & Magazines,"July 30, 2018",42.0,8.0,70.0,0.02,0.5,July,30,2018
Free Blood Pressure,MEDICAL,4.2,7.0,5836.8,5000,Free,0.0,Everyone,Medical,"October 13, 2016",0.0,0.0,0.0,0.0,0.0,October,13,2016
Free Cam Girls - Live Webcam,DATING,3.5,35.0,16384.0,1000,Free,0.0,Mature 17+,Dating,"July 16, 2018",0.0,0.0,0.0,0.0,0.0,July,16,2018
Free Dating App - Meet Local Singles - Flirt Chat,DATING,4.1,825.0,22032.55340623291,100000,Free,0.0,Mature 17+,Dating,"December 28, 2017",44.0,9.0,27.0,-0.05,0.56,December,28,2017
Free Dating Hook Up Messenger,DATING,3.3,1157.0,21504.0,100000,Free,0.0,Mature 17+,Dating,"January 27, 2017",12.0,9.0,59.0,0.15,0.52,January,27,2017
FreshBooks Classic,BUSINESS,4.1,1802.0,26624.0,100000,Free,0.0,Everyone,Business,"April 18, 2018",20.0,16.0,44.0,0.1,0.47,April,18,2018
Galaxy Attack: Alien Shooter,GAME,4.6,506275.0,22032.55340623291,10000000,Free,0.0,Everyone,Arcade,"August 1, 2018",43.0,8.0,129.0,0.08,0.47,August,1,2018
